tx_hash,block_number,gas_used,effective_gas_price,fee_wei
0xa19911c278e5754b2f9413075c90264f6c54b9f9a437f6839a84d0a4519a25c9,21623490,261518,13160124952,3441609557197136
0x7e9549bef092efa7582a1061f07a2519f56d21c854bf1b07e78826083c1adc33,21623542,420125,10581830868,4445691693418500
0xf9e4cdc96dcf7478cfa12f9d0dbdc51964b4028c7c8dc7905310844433db26e7,21623571,112603,10608012904,1194494077029112
0xaaa2c0dc07fb9f59ff187df73c6ea501a171590c08f705e18e6d721e11d5a448,21623650,144469,13729570822,1983497367083518
0x4133f9d966bb788d24a3112f054611ed58f041e3c6dbf9ca4894b7417e14ef55,21623569,209734,10720983858,2248554828473772
0x1d5426656771f2696c4cda1a0282dd3af6c7cc2b4811d288bbfc25f59aa2e6a6,21623546,112389,12358361522,1388943893096058
0xcc71d340ce4b6bbaf2692ce440c327a8d6b5604f1b901077ee20c603158d0879,21623673,236866,14018886803,3320597641479398
0xe6dd98b8490f30733b9c542f4d4a90a53b6b7f171895bcafe64c6583d678339c,21623670,117796,12677498261,1493358585152756
0xecf74207d7b9ce6fba15ed41080c70381cfbeb46e078d5aadd28ab1851aa449d,21623597,123303,15341541674,1891658113029222
0x55ce66fe12daabb4f5de3665e840c021103e9dac1df2affdf0b85259f9122a97,21623669,886224,14167201186,12555313703861664
0x2877b2ae39264381cb3a22ba5459bf5fc704f94552883cc5ca5f37b5a7c28576,21623526,154558,10062112165,1555179931998070
0x7812aa0a0ddd9027a6fc9226f992f869928be64d058d0f8f470d968806af072a,21623676,136929,13434829706,1839617796812874
0xc0f998074e1814e7b140e6677044b7fb3c7f5cc51e1cc2a11bf3c6008ecf9150,21623711,193358,14435390669,2791198268976502
0x3e68fcdf8e03029c9958b6c21c9876da0d15478af349bcdcdc7cebf86892d1c4,21623597,161528,11221889131,1812649307552168
0xe71bdf0b83329496675a5222858c1557bf81826f22edec117a999792786d20b6,21623616,91805,253120953012,23237769091266660
0x4b5dd11ea4ed23a270b6c629a21ed4f93e81bc68ca4b9993b9a58e48bb5882f4,21623540,526887,11794923926,6214592082598362
0x6ac0b48fd3793df1ae402e5d9e56be395364999457f59ab8285661defb92c550,21623785,156181,10644719268,1662502899995508
0x18598e1e7299868868be59a6aacd5c7c16983f61ccf6846c58a465050a97034b,21623566,193522,12378393635,2395491493032470
0x443856ebedf6fc42b3c42b481925a5666e0cc0ba374031c1409a73f246c977f8,21623789,121307,21927378848,2659944545914336
0x32ab85cb03f61d85409d3a7dc08057246a36207925d7f825b3796852fc2c08a1,21623579,124489,22472029933,2797520534329237
0xdb00e27eb05e38e9d65074ece5196752d6a61f3f77e7ec5fbf3bfd0b5a87352b,21623722,388082,24200000000,9391584400000000
0xb926103c29b8daa2b75777f4859291a473a7532b11ff31ef03edcbf2bac357ce,21623653,125295,23038970084,2886667756674780
0x1c978324705977d10cc7e8be5f4b6a5cc9eabe582d00e46be5d7c22dfb06f0f0,21623713,117049,22250225085,2604366595974165
0xbe8b4b36352eb4bcc9da85fd42f3bfc7d21a0c43f70f2aa6be533dbb2831a5a3,21623591,255914,9155422805,2343000871718770
0x9b0c784dd7203b34e28da2e811d684a82bb6a685ddc52c639dfd4f4792c5466b,21623761,148402,19453662934,2886962486731468
0xd430431c2b420661afeee3384592283c2a0e82107378259d5447bb172b1c13c7,21623689,271765,12469872044,3388874776037660
0x871ce878c6222581d699c79e3896f623f858fc2a73f9f6319cb754eec961e52c,21623565,276249,9503321686,2625283112435814
0xb564b08d6cd0cdc9ca4f82463395709369129aacf730bc6aef03ccd3d7b31c3f,21623569,319111,9378562113,2992802334441543
0xfb6cc7fbc13dc9b2d6e6cbe9767f2ae7ce3aa1fbd72d20e9bf0b89740b202158,21623558,136624,11207537437,1531218594792688
0x3d316df1a27f3d6144195cb45886c084690c3df9f2172f51a0e256558dbbb56f,21623855,292619,14643786026,4285050023142094
0x55eac5a7345eeb793b7174e3448607a508a910cef5edf99d987b0235de49c26a,21623499,122594,13453107964,1649270317738616
0x41579f3be7bd157221e7a1c7a5b80d8ecb7b5e394eea03de12ea3b044f6090cf,21623782,133915,10374546694,1389307420527010
0x7c437c9ca2295297da7ae64d5c61a0e83e6e0725c2b1f4ed793aabbbb037eb57,21623518,315440,9564549339,3017041443494160
0xf184102057d4363635b9a8a44543b719e96be4b827fce606537e17227ee0c2bd,21623603,457872,9434269450,4319687821610400
0x1f8e358e190acbbf8575b7cee335fab58c208a24f37e088fc0a7ed8a15ff992a,21623572,108697,13379926311,1454357850226767
0xfaf72ad369787bc47ead77864cb6fcff21a41dd07194da2c040eb574b576f54c,21623782,286636,12517303527,3587909813765172
0x1c5094aa6d8117d8a2271360bff362b2132b7c8e4c18a257bdd2352ee01deced,21623674,171365,14450663948,2476338027449020
0xf0be876a5532655cc9f5d1ac3986dc3ad6902f89e57b0b640de701e436c76cd8,21623912,333932,11426578346,3815700160236472
0x2c4a5aab6f8df481ca857e633ee794266ffecae5b7a54f769b1e42e830eb8a94,21623697,137183,13856908215,1900932239658345
0x9258ac4bdcee93968644f3959173b1435f912133444788859232440610a6f91b,21623691,145335,12225934547,1776856197388245
0x333746c59d98a944a511c10e388a5031eb89057d55655ece9fff4851de9a990e,21623896,263268,13041546178,3433421779189704
0x87a23441b57052d56642de1e8b18beac6c6ca5e10e0a839e3959c14467558ac1,21623863,158638,13188640792,2092219597961296
0x40753bfa3a2ab56da1d7c3ea56fb4b55ddfea73b6d21d3f888d4e894286beed8,21623639,136414,18136417137,2474061207326718
0x62341600d99046bf70e71ee5505454fc18a142223ebce16e25416604889fb150,21623907,305102,10420019578,3179168813286956
0x286a4f61f87aea150abb1c7dab84fcff93b2270244d19a5d5869fa85cf0b5057,21623695,237338,12091785404,2869840164214552
0x0a6947f4fbabbfdbd8672b74d05424e65f5bedd8e79347a4c81cb3d566b1bfe4,21623641,195547,14816231662,2897269652809114
