block_number,base_fee,gas_limit,gas_used,timestamp,gas_utilization
21500000,3790816777,30000000,13776378,2024-12-28 09:14:47.000000,0.4592126
21500001,3752162387,30000000,13645926,2024-12-28 09:14:59.000000,0.4548642
21500002,3709823175,30000000,14440144,2024-12-28 09:15:11.000000,0.4813381333333333
21500003,3692515119,30000000,12023301,2024-12-28 09:15:23.000000,0.4007767
21500004,3600919236,30000000,14038633,2024-12-28 09:15:35.000000,0.4679544333333333
21500005,3572070862,30000000,8707722,2024-12-28 09:15:47.000000,0.2902574
21500006,3384767005,30000000,25664044,2024-12-28 09:15:59.000000,0.8554681333333334
21500007,3685561207,30029295,13160708,2024-12-28 09:16:11.000000,0.4382623035272723
21500008,3628676706,30000000,11809437,2024-12-28 09:16:23.000000,0.3936479
21500009,3532197360,30000000,17382518,2024-12-28 09:16:35.000000,0.5794172666666667
21500010,3602326724,30000000,15650600,2024-12-28 09:16:47.000000,0.5216866666666666
21500011,3621857338,30000000,18924916,2024-12-28 09:16:59.000000,0.6308305333333334
21500012,3740319719,30000000,16069620,2024-12-28 09:17:11.000000,0.535654
21500013,3773659058,30000000,13235291,2024-12-28 09:17:23.000000,0.44117636666666665
21500014,3718163974,30000000,15649931,2024-12-28 09:17:35.000000,0.5216643666666667
21500015,3738301890,30000000,12417964,2024-12-28 09:17:47.000000,0.41393213333333334
21500016,3657864973,30029295,16389741,2024-12-28 09:17:59.000000,0.5457917343713864
21500017,3699739984,30000000,13747657,2024-12-28 09:18:11.000000,0.45825523333333334
21500018,3661128789,30000000,12124494,2024-12-28 09:18:23.000000,0.4041498
21500019,3573398808,30000000,15335254,2024-12-28 09:18:35.000000,0.5111751333333333
21500020,3583382110,30000000,12825597,2024-12-28 09:18:47.000000,0.4275199
21500021,3518451137,30000000,12539871,2024-12-28 09:18:59.000000,0.4179957
21500022,3446319107,30000000,15409635,2024-12-28 09:19:11.000000,0.5136545
21500023,3458083548,30000000,16741188,2024-12-28 09:19:23.000000,0.5580396
21500024,3508259994,30000000,15868886,2024-12-28 09:19:35.000000,0.5289628666666667
21500025,3533662310,30029295,12104256,2024-12-28 09:19:47.000000,0.40308159082655787
21500026,3448043090,30000000,12376943,2024-12-28 09:19:59.000000,0.4125647666666667
21500027,3372672977,30000000,11022508,2024-12-28 09:20:11.000000,0.3674169333333333
21500028,3260883146,30000000,24704085,2024-12-28 09:20:23.000000,0.8234695
21500029,3524582206,30029295,15148546,2024-12-28 09:20:35.000000,0.5044589291889803
21500030,3528511186,30058619,23962459,2024-12-28 09:20:59.000000,0.7971909487924246
21500031,3790671606,30087972,16882694,2024-12-28 09:21:11.000000,0.5611110645808897
21500032,3848584600,30058591,10764151,2024-12-28 09:21:23.000000,0.3581056410794505
21500033,3712061501,30029238,5903606,2024-12-28 09:21:35.000000,0.1965952649214742
21500034,3430497242,30000000,28261684,2024-12-28 09:21:47.000000,0.9420561333333334
21500035,3809615328,30029295,13556400,2024-12-28 09:21:59.000000,0.45143916965083597
21500036,3763365822,30058619,14158879,2024-12-28 09:22:11.000000,0.47104223251241184
21500037,3736121169,30087972,21839330,2024-12-28 09:22:23.000000,0.7258491865121385
21500038,3947071150,30117353,14000723,2024-12-28 09:22:35.000000,0.4648722947199244
21500039,3912408278,30087943,13115475,2024-12-28 09:22:47.000000,0.4359046745069944
21500040,3849716522,30058562,14213801,2024-12-28 09:22:59.000000,0.4728702923313497
21500041,3823606102,30029209,15863200,2024-12-28 09:23:11.000000,0.5282590027596131
21500042,3850618942,30000000,10048284,2024-12-28 09:23:23.000000,0.3349428
21500043,3691725847,30029295,13979334,2024-12-28 09:23:35.000000,0.4655232165790106
21500044,3659906154,30000000,15273449,2024-12-28 09:23:47.000000,0.5091149666666667
21500045,3668246134,30000000,11678825,2024-12-28 09:23:59.000000,0.38929416666666666
21500046,3566722073,30000000,14035873,2024-12-28 09:24:11.000000,0.4678624333333333
21500047,3538065631,30029295,11628093,2024-12-28 09:24:23.000000,0.387224974812096
21500048,3438314283,30000000,6031819,2024-12-28 09:24:35.000000,0.20106063333333332
21500049,3181352410,30000000,9981178,2024-12-28 09:24:47.000000,0.3327059333333333
