pool_address,block_number,log_index,sqrt_price_x96,tick,amount0_f64,amount1_f64,transaction_hash,tx_from,sender,recipient,liquidity_f64,pre_sqrt_price_x96,pre_tick,pre_liquidity,price_pre,price_post,price_exec,price_impact
0x00013bffe4c38c1372a450fac78b01cb4f554781,22419242,264,2.5699946507535533e+25,-160680,-9.475234037687359e+20,100000000000000.0,0xe55bbdd19e4fc71a76c9cdca6d596281b3e026ce0c19044e4f39b3ac8af972f6,0x146cc769f885f4dadb7e74e7d8771526a838d557,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,2.2706521960427718e+24,2.505291154291017e+25,-161190,,9.999015520786639e-8,1.052216896162032e-7,1.0553829024407636e-7,0.055486812923493556
0x00013bffe4c38c1372a450fac78b01cb4f554781,22419246,45,2.569998129510809e+25,-160680,-9.475219929411302e+21,1000000000000000.0,0x7d1fd0e661492ce52f617629ec39322511cad4058cd571c0c5beba7fae025126,0x146cc769f885f4dadb7e74e7d8771526a838d557,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,2.2706521960427718e+24,2.5699946507535533e+25,-160680,2.2706521960427718e+24,1.052216896162032e-7,1.0522197447357742e-7,1.0553844738695477e-7,0.003010384759139839
0x0002e63328169d7feea121f1e32e4f620abf0352,21555946,376,2.6687194699162438e+25,-159927,-1.0593831556239852e+18,117892712612.0,0x250e255ff98ac1e63568611154817bd9934c68d2321398daafc6e65876a85f34,0xfc9928f6590d853752824b0b403a6ae36785e535,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0xe1d66f42f852cdaa3b20c2509bc9201004890e91,1.5770036641733558e+16,2.609668232835224e+25,-160374,1.5770036641733558e+16,1.0849542627414162e-7,1.1346101926243999e-7,1.1128429972304048e-7,0.025704986326815726
0x0002e63328169d7feea121f1e32e4f620abf0352,21617790,166,2.5976145721307e+25,-160467,1.2854021094393492e+18,-141531345408.0,0x54ddabb7692b27ff7b827d115270c4668a16a28ac0b27092c23bfa926efce504,0x0bde59981fdeac219ce9e618d27f193438bff786,0x81463b0f960f247f704377661ec81c1fd65b5128,0x9cd028b1287803250b1e226f0180eb725428d069,1.5770036641733558e+16,2.6687194699162438e+25,-159927,1.5770036641733558e+16,1.1346101926243999e-7,1.0749549313987811e-7,1.1010666963175546e-7,0.02956389474102805
0x0002e63328169d7feea121f1e32e4f620abf0352,21725184,335,2.5462505657810003e+25,-160866,9.731956709326268e+17,-102237921024.0,0xc8e86c765b5c7baf4d706df1d0f82515a53e4bee1627b2f707be45566b62d867,0xfc9928f6590d853752824b0b403a6ae36785e535,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0x6800c4e46091f9f3a100d1a97a892ef3db61954c,1.5770036641733558e+16,2.5976145721307e+25,-160467,1.5770036641733558e+16,1.0749549313987811e-7,1.0328639262273602e-7,1.0505381813507657e-7,0.022714208135445446
0x0002e63328169d7feea121f1e32e4f620abf0352,21746974,306,2.590046467096568e+25,-160525,-8.29730511277523e+17,87436231020.0,0x4c913a0b6a14b7ff7180b002326f3f2831a840c7e38633e801e3da4b129c8112,0xe75ed6f453c602bd696ce27af11565edc9b46b0d,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.5770036641733558e+16,2.5462505657810003e+25,-160866,1.5770036641733558e+16,1.0328639262273602e-7,1.0687003309029796e-7,1.0537907167638782e-7,0.020260936610454694
0x0002e63328169d7feea121f1e32e4f620abf0352,21762342,164,2.5172606442770483e+25,-161095,1.3990337200168643e+18,-144877156864.0,0x022952dca2b8b0c01cf07eebc9655489d9a5992f39b852480747fa0c03a3ce7f,0x0bde59981fdeac219ce9e618d27f193438bff786,0x81463b0f960f247f704377661ec81c1fd65b5128,0x6800c4e46091f9f3a100d1a97a892ef3db61954c,1.5770036641733558e+16,2.590046467096568e+25,-160525,1.5770036641733558e+16,1.0687003309029796e-7,1.0094788038090885e-7,1.0355515724256712e-7,0.031017823723606397
0x0002e63328169d7feea121f1e32e4f620abf0352,21782819,57,2.4807993155841973e+25,-161387,7.31694514716363e+17,-72574760192.0,0xb2fcab3dcfd248cff4e0e76f7e5954b72a021ad17263a19418863f5217416f6b,0xe75ed6f453c602bd696ce27af11565edc9b46b0d,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0x9cd028b1287803250b1e226f0180eb725428d069,1.5770036641733558e+16,2.5172606442770483e+25,-161095,1.5770036641733558e+16,1.0094788038090885e-7,9.804469488694533e-8,9.918724103068227e-8,0.01744107299314379
0x0002e63328169d7feea121f1e32e4f620abf0352,21784096,100,2.4980640316888636e+25,-161248,-3.4807796228266394e+17,34468104560.0,0x846299bcac0ddbc1a900dc180569401f21749b19756654ce6f29e3656b50e97f,0xfc9928f6590d853752824b0b403a6ae36785e535,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.5770036641733558e+16,2.4807993155841973e+25,-161387,1.5770036641733558e+16,9.804469488694533e-8,9.941409538160377e-8,9.902409314844661e-8,0.009989303986621678
0x0002e63328169d7feea121f1e32e4f620abf0352,21819197,299,2.4564091521856355e+25,-161585,8.507045140430286e+17,-82912307344.0,0x07d9e664c7602cfd478496e36ec925220ce7191659f03b05ea6ca58f5a3819ab,0xcb2ed83402408d32441bfaef2167393f31e8574c,0x3face000cb537ad065b90ef47f23d62b48b2264c,0x9cd028b1287803250b1e226f0180eb725428d069,1.5770036641733558e+16,2.4980640316888636e+25,-161248,1.5770036641733558e+16,9.941409538160377e-8,9.612630442048508e-8,9.746310966419334e-8,0.019624840018123257
