transaction_hash,block_number,log_index,mev_type,estimated_loss_usd,extractor_address,is_sandwich_victim,is_sandwich_attacker,is_arbitrage,is_liquidation,is_backrun
0x01b4330c61e114dc6d932fef116717148261b89912d7df767b980d64c357b94b,23547035,380,arbitrage,,0x9112d189ab4fb53f93aa54e233bc607d79e17ac2,false,false,true,false,false
0x373ac04d799dc8089b3124c3e422f82e30affb5721663ef551d5bcbe502db48a,21803405,533,arbitrage,,0x1a9f2d2a11654282360683aee55a2acad681832d,false,false,true,false,false
0x538e7e3212f8df7354aabc82866c4e57d227702876b710b4d848cd59b20e0d4e,23832601,133,arbitrage,,0xdc511b025dcd743c12e220d7b2c4d3e4d3949e1d,false,false,true,false,false
0x9cc9973775c4a85b115df83e8ed0143a58543514ca87d093eac5380db6d3e0d7,22024296,21,sandwich_victim,,0xb58555fcba6479fced7de1485eb054943a09af7b,true,false,false,false,false
0x8da7c43f44552b10c96972780c16ab8405d7db6313cdf39d728839c2f5768a24,21682456,6,arbitrage,,0xd1fa51f2db23a9fa9d7bb8437b89fb2e70c60cb7,false,false,true,false,false
0xc27efc1e8feffd85d5a48d480c706e8a25b6aee0a7b82cccfbbc553ad615a30b,23055958,235,arbitrage,,0xc4d8ca9da9df454288e7210b112be912dee700be,false,false,true,false,false
0x5e7aec7db4fc1aa83881afe821b8af4f4c7d4fb494e0f583cba0b32631e73292,21919087,390,arbitrage,,0xc24d30475eca133302192b502085a3cc124b0b9b,false,false,true,false,false
0xb27460212ccdb70b8f2ddf1e67ef43a972482c765a6b935d69b3ebfa3110235c,25142158,117,arbitrage,,0xee0b97f6f1ff5bba7f7a2383b9af7f3ba3d82ea4,false,false,true,false,false
0x8ac63d56ec68aba02492a7ee290dfd148bf2f82abe3f76fa2826d1c9a7aeb8a0,23422713,61,sandwich_attacker,,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,false,true,false,false,false
0x66d3466b1b0edd5f25396f8b4c90e4dd7f44346c0cff68c237d828c2257172b7,22450109,68,arbitrage,,0x3982f6a7b4e1a7d204d5594ea9f4f35ef6ecde43,false,false,true,false,false
0x885215baee893ddbe828572e7257b1d99a9294a62800920a534a62dd3f2b4bd6,24051330,75,sandwich_attacker,,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,false,true,false,false,false
0x9c86e8d51541edde206ca4a2e634ee4f885421c81fd4f0eb9070d6081cebe219,22446548,468,arbitrage,,0xf806472e1f1482384e58c8d743b14fd76033449c,false,false,true,false,false
0x1c4c92ee581e5ffbabbbf1acaebdd5297de08dbc75582305abb3a17734fec166,22213133,150,arbitrage,,0x71db78efedf8a22bf12ac916bf5f379807b9adcb,false,false,true,false,false
0xa5a32993af979f09ad48b8be064293f9718a8eea49c1e3b6ff08e533ac9ff77b,23130419,221,arbitrage,,0x0000000000000792b907283999351c9587689a82,false,false,true,false,false
0x1bc6308f2d6fa3f4a59c81ea49d5265111006f905555f413d3774034bac60a08,24672439,36,arbitrage,,0x60580573a6fef86029944c4043666bf3e1728b68,false,false,true,false,false
0x37a69f4866e9f1f7843e290fd5cabc9b3d300235cad8ced3c683b1aee09b8759,22388856,204,arbitrage,,0xdbeba700d283b62dafa37b430d41fe81391815ea,false,false,true,false,false
0x2c309c96120bdf57ebc725d904c43881175f380e08e3e14e4f7f6d4c2d5e8f28,24143233,835,arbitrage,,0xdbe936e556048a23c670ae9e3d8e52b2daac558e,false,false,true,false,false
0x363e54bccb0ac135ee6fcd8530fd707be859ad03ca20dd35118e73261bae5bcd,22233931,48,sandwich_victim,,0xeb7742c9ad0cf9e2e6b4a7fda44719193376a547,true,false,false,false,false
