wallet,pool,n_swaps,n_tx,volume_usd,active_months,active_days,arb_leg_share,span_months,tenure_days,edge_persistence,edge_returned,pw_vol,pw_cnt,avg_trade_usd
0xc7899ff6a3ac2ff59261bd960a8c880df06e1041,0xc7ec87aeb9d1129c42123859220c525aba1ca617,563,563,1004693.8539423712,9,172,0.012433393,9,270,1.0,true,0.00048922683,0.0033127975,1784.5361
0x49e37ea35ec63493d77e459b9c852b0aa6243f09,0x4d622cd6ce9d6c1cdfddca3a6180f88c38ab298e,1,1,31.785970149253725,1,1,0.0,1,0,1.0,false,0.0026806737,0.023255814,31.78597
0xfc3e7c9d492122fac3558b74f657f10b97640d16,0xe0554a476a092703abdb3ef35c80e0d76d32939f,8,8,1982.9617159999998,3,7,0.0,6,137,0.5,true,0.17059413,0.24242425,247.87021
0x271545b008b528ed98a22ce6257f52deb89c09d3,0xf0ce6fd5b7e92310e7b4b5612d380f6e3458caa5,1,1,8.885858,1,1,0.0,1,0,1.0,false,0.5,0.5,8.885858
0xcbac58199b5dbb654009a654259e8f0e6f31df5b,0x173a77805b59613a52d921234878aad9ac8fafe1,3,3,369.2253689801506,1,3,0.0,1,25,1.0,false,0.51498437,0.75,123.07513
0xdef6aa6b8ba74868e8c9d9f7dc0db4a9de8dbb71,0x5d27fdd96c8e4028edbabf3d667be24769425199,1,1,10.0,1,1,0.0,1,0,1.0,false,0.021832468,0.1,10.0
0x76e40d0a69fd81826b5eb7d18145626d46eafdef,0xfad57d2039c21811c8f2b5d5b65308aa99d31559,354,354,524672.0802629999,12,206,0.0,12,350,1.0,true,0.0029201915,0.017549077,1482.1245
0xed860ae144b3404148d0c27f775aafe1234af989,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,2,2,897.048738,2,2,0.0,10,248,0.2,true,0.08217587,0.6666667,448.52438
0x177b8ebe208cb71da818b6b8814c946c027240cd,0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,37,37,112679.28491731218,8,31,0.0,8,230,1.0,true,0.0007092616,0.0024343706,3045.386
0xc67671014d36f5445fb77790416830e87915e896,0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,6,6,55487.36960211824,2,3,0.0,2,5,1.0,true,0.08885895,0.072289154,9247.895
0x6acf7b7e46d8b909977c3c77595801a3cbe5295b,0x464bd7e6718a815c20a5ad529003d7a93a9676b3,4,4,54960.37530340497,1,1,0.0,1,0,1.0,false,1.0,1.0,13740.094
0xdbebd1b22bd8f75075d57d77a6175f516437bb73,0x3ebec0a1b4055c8d1180fce64db2a8c068170880,1,1,876.7057947154958,1,1,0.0,1,0,1.0,false,0.50030935,0.5,876.7058
