wallet,degree_pools,w_swaps,w_tx,w_volume_usd,hhi_vol,hhi_cnt,entropy_vol,entropy_cnt,top_pool_share,persistence_vw,persistence_mean,share_pools_revisited,max_edge_tenure_days,wallet_pool_months,entropy_norm_vol,entropy_norm_cnt,eff_pools_exp_H,eff_pools_inv_HHI,specialization,specialization_cnt,n_tx,arb_tx_rate,n_arb_tx,split_route_rate,multihop_rate,max_legs_one_tx,n_active_blocks,n_sandwich_slots,max_tx_same_pool_block,tx_per_active_block,mev_wallet,mev_strict,mev_base,mev_loose
0x5f924ddab37f6408d8c99364d58e3ceaa20f3fba,1,1,1,387.974013,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0x57c348912c26a4cffbc9655a522920053ee932dc,1,1,1,24.05737277147776,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0x55e174227d8451a5f763e9c45c261f9dc5dc517d,6,8,8,342.36638910879014,0.39825657,0.1875,1.1553317,1.7328682,0.57418376,0.7445428,0.8888889,0.3333333333333333,60,8,0.6448029161750951,0.967132153807816,3.1750765,2.5109441,0.3551970838249049,0.03286784619218397,7,0.0,0,0.14285714285714285,0.0,2,7,0,0,1.0,false,false,false,false
0x397ef049fc18aac88c9f7ca79eea9ac200bd1ee5,2,2,2,51.702452,0.6398008,0.5,0.5459704,0.69314724,0.76438683,1.0,1.0,0.0,0,2,0.7876687601400795,1.0000000887391607,1.7262827,1.5629865,0.21233123985992053,-8.873916068630194e-8,2,0.0,0,0.0,0.0,1,2,0,0,1.0,false,false,false,false
0x752996b61cb7e4ac5e3ea4a87879e66ed6da9e26,1,1,1,1.3574238673511232,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0xfb50732be28621b9b204b433e62e4a9d0be94f44,1,1,1,11.71808289317743,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0x55be9cb776a3d4722b9da3b833c247a82ce6d151,5,10,10,3567.238398452216,0.6195437,0.32,0.7876157,1.3592368,0.77385724,0.48162863,0.75555557,0.4,255,9,0.4893731596431599,0.8445413308163671,2.1981492,1.6140913,0.5106268403568401,0.15545866918363294,9,0.0,0,0.1111111111111111,0.0,2,9,0,0,1.0,false,false,false,false
0x235875cf732d8e4a88085b3cdcc4d6108c4da2e3,1,1,1,49.78828,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0xb4f16d67371f0efa285caaa4a4cb59edddcb71cc,1,1,1,20000.0,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0x0c876dd0240ded738b383355ed01e715be3db8bd,1,1,1,174.917188,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0xad65824f47943b704843a2a583f832042155c186,1,1,1,1446.2906,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0xf8cc74d446a08d71574fe6b1fb4a499fa22b133f,1,2,2,5.763523,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,2,0.0,0,0.0,0.0,1,2,0,0,1.0,false,false,false,false
0x48c0bef1fb230cf99af90a7799d46686ae643736,1,1,1,35.16060350215523,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0x74558d75a1ef819c177aedad5bd85266de1e88a4,1,1,1,49.45812120159523,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0xf9fb6ad7640fb12de6be7a23ea4d905a05a85555,10,18,18,339.2992215082647,0.3448832,0.23456791,1.5235302,1.8891593,0.5566334,1.0,1.0,0.1,31,11,0.6616607783411937,0.8204514688873035,4.5883946,2.8995323,0.33833922165880626,0.17954853111269653,17,0.0,0,0.058823529411764705,0.0,2,17,0,0,1.0,false,false,false,false
0x4c6edf551debd954953ad31dae8a640c5427e5ef,1,1,1,97.05317,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
