pool_address,token0,token1,fee_tier,tick_spacing,creation_block,creation_log_index,swap_count,traded_in_window,decimals0,decimals1,symbol0,symbol1,fee_pct,decimals_source,price_safe
0xa2e6466f1ff9d69650622ba8bd13db0368068eeb,0x27916a2932b8e6a80bdcac7f67b28b9d66c78e36,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,20184188,11,0,,18,18,DEBATES,WETH,0.01,onchain_r1,true
0xfeb20fc607e99398caa45e4a9239a6f90dd7ec3c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xec6d73557937974077911a0b6fdc436b0ff70296,10000,200,18694546,272,0,,18,18,WETH,SKRIMP,0.01,onchain_r1,true
0xa99f0d16e35507278f95cb664e882b45361d8297,0x22d4efdf57e8030dfc8d5cadc085a5dabed0734d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,22774576,4,10,true,18,18,CARRANZA,WETH,0.01,onchain_r1,true
0x766658180726600dc5e723cf85bbf2dcd470b2ad,0x623cd3a3edf080057892aaf8d773bbb7a5c9b6e9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,19918789,0,7333,true,18,18,SKYA,WETH,0.01,onchain_r1,true
0xf4c6f634fcc33ebb1313abd1b76d7064710cf901,0x69c5c8cca5fbc6d961f38466b2dbd1698aaa56cd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,22797901,55,38,true,18,18,KLIKUMBER,WETH,0.01,onchain_r1,true
0x4bf01b5ac18b2db11436791fbd0b6e024e9086fb,0x4cf083415b215fc0aa311f19a28645277ffefd6d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,25069843,360,1,true,18,18,test,WETH,0.01,onchain_r1,true
0xe16434422a5932525fb70b20bf93daff46ffb60e,0x056017c55ae7ae32d12aef7c679df83a85ca75ff,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000,60,18344287,413,0,,18,18,WYV,WETH,0.003,onchain_r1,true
0xb7a71c2e31920019962cb62aeea1dbf502905b81,0x3419875b4d3bca7f3fdda2db7a476a79fd31b4fe,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,19109639,116,412,true,18,18,DZHV,WETH,0.01,onchain_r1,true
0x7d1c1b4367b98158b4ee5f574e3afd2aa5331836,0x6937de9c70f42e71ffa7ed4854d24956f0f6f3ff,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,22784653,573,59,true,18,18,T1,WETH,0.01,onchain_r1,true
0xb7cd46001f9ec24fbbce8b7b1dfa6a7d77ba4903,0x08a026095cf78824964a252246700bce0d7f48cd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000,60,24060363,76,3,true,18,18,ZKP,WETH,0.003,onchain_r1,true
0xba0c053250785a76cd85e789436b0208c1bf7c86,0x6b0faca7ba905a86f221ceb5ca404f605e5b3131,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,100,1,19125786,0,11226,true,18,18,DEFI,WETH,0.00009999999999999999,onchain_r1,true
0x0eed870ccee60b238e9797f66387abe6b8ee3fc0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xce6a67e1a20fabfb5dc78b8499e2a2a81b1fe244,3000,60,24321921,603,40,true,18,18,WETH,COPPERINU,0.003,onchain_r1,true
0x6a7298d2c65cc54ceb8ec2c994dccacbbc90cf5f,0x4e1c968f87f38d479d6e5ebfec920d71df3ce200,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000,60,22379538,221,11,true,18,18,$WLFI,WETH,0.003,onchain_r1,true
0x335d82af9c03d4fed40816dceee3535948d48b89,0x243c9be13faba09f945ccc565547293337da0ad7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,500,10,22680903,215,122,true,18,6,TRUF,USDC,0.0005,onchain_r1,true
0xeee31e189000dd9f508b4bbc7feb7296c9d0cc02,0x69f60dc9c6d81198321b43e4deb61ddf0044124b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,23228291,101,8,true,18,18,ETHZilla,WETH,0.01,onchain_r1,true
0x78736f7e7767c10efbd4d397f0d6936befd169ec,0x5d05db3faa3d693d4ba84cdd239a722f1fca9897,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,500,10,24980409,392,238,true,18,18,FAIRPAD,WETH,0.0005,onchain_r1,true
0x2cb162433e0cabac4825e6d198a125829156cc92,0xbba39fd2935d5769116ce38d46a71bde9cf03099,0xdac17f958d2ee523a2206206994597c13d831ec7,3000,60,14921930,170,273,true,18,6,CHO,USDT,0.003,onchain_r1,true
0x4a730c48768a1aff71e2ca4eeafd1d7c87bfc19e,0x18b33687d1c804dd4ea6c82106e54923c23a652e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3000,60,23049435,132,64,true,18,6,CPX,USDC,0.003,onchain_r1,true
0x6296453523beb7f281b47ed9d82078faf69710cf,0x34f0915a5f15a66eba86f6a58be1a471fb7836a7,0x76306f029f8f99effe509534037ba7030999e3cf,3000,60,15111186,224,0,,12,18,PLSD,ACR,0.003,onchain_r1,true
0x194aaf1b7c984117a8b6f6c19888ebc278d41f01,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd335ada437834d74ad33d820b0d2c69152a13608,100,1,17353425,317,0,,18,18,WETH,CODE,0.00009999999999999999,onchain_r1,true
0xdf400e9eac83fcd542e5604024f0359a39af34b9,0x1c0b2c6c9279304f9b51da88964f8c3000932e9b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,18512070,95,0,,18,18,Groooook,WETH,0.01,onchain_r1,true
0x22300e44e79e277014cc0d067ccd5b892c3c304e,0x174a8f1bd96adba7de18ceac5ba2e6fb5272d931,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,10000,200,19064287,319,0,,18,6,AFT,USDC,0.01,onchain_r1,true
0x47b2b960c4a6f9e25357f72017ce2a0343920d2e,0x34cd5c655f8abeaac41191162bd2a9779edb5df3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,500,10,24411968,136,4,true,18,18,BNKR,WETH,0.0005,onchain_r1,true
0xe7c5bb6791bb95b0ef0e866873f8c96df08e3201,0x044d078f1c86508e13328842cc75ac021b272958,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,10000,200,16863313,282,0,,6,18,wPPC,MATIC,0.01,onchain_r1,true
0xbe779032656584e3cc366674b2ea712b42d85383,0x6e86d33747f7df242a8f0eda2d6cf449eb6c2aa1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,23139282,578,86,true,18,18,PEPE,WETH,0.01,onchain_r1,true
0xfd742bfae015f221ac7c802b0114b7bc7de8f2dc,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,0x7475c42f8bf2c19f4eaf12feaababa859fdc8914,10000,200,16517810,17,0,,8,18,HEX,ACCEL,0.01,onchain_r1,true
0xdecb69b693f594cb6f976263b4d7d7b5b2731631,0x69610e62ed8bb320f4ea85361266d491fdbab024,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,22803903,69,56,true,18,18,HEART,WETH,0.01,onchain_r1,true
0x2c2b7e64c873abdd63bb98c1925c9c6576222f33,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xcc28bdba0639e4d89823b5ab25d90849523169f6,3000,60,23753801,212,8,true,18,18,WETH,META Al,0.003,onchain_r1,true
0x129fe8e05ae5df48fc07a557b6a4a0d42066a52c,0x8788ea1d181c872fbb5c376f3dc7b95a92eb4ecc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000,60,12746519,46,0,,9,18,GMMT,WETH,0.003,onchain_r1,true
0x35349ffce20113b322fbd222a1f2e6e8a66493b2,0x1cbdfc778335d1760d8b8dbb6a8d014a5b049769,0xa6a2348408559cff30cf7a67c356366ef75cbb2d,3000,60,18243850,97,0,,18,18,PTT1,TET1,0.003,onchain_r1,true
0x4c0ba7410e68d6638f20bbeee8823f5d0f096aaf,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xbeef69ac7870777598a04b2bd4771c71212e6abc,10000,200,20075028,60,0,,18,18,wstETH,steakLRT,0.01,onchain_r1,true
0xa3eef0db156eeecfa55682fa4b4aee5a3330dd11,0xb5fe099475d3030dde498c3bb6f3854f762a48ad,0xdac17f958d2ee523a2206206994597c13d831ec7,3000,60,12654508,97,0,,18,6,FNK,USDT,0.003,onchain_r1,true
0x0a29c47268ba61d1115910e5afcbc5e27c59411a,0x926b97ec74413f801da385edc8a62601afbbc9cb,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000,60,19224894,278,0,,18,18,SIMP,WETH,0.003,onchain_r1,true
0x3c50d8dfec8052bcc71dd6f6da9e796d4a860c84,0x1d02d59fd546a2f823bc76112924608ea0b3ebae,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,22821181,4,16,true,18,18,LIAR,WETH,0.01,onchain_r1,true
0x943ba2dd423bb7574c537bac58cdc877f1258760,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xfa2b947eec368f42195f24f36d2af29f7c24cec2,3000,60,23281430,550,0,,6,18,USDC,USDf,0.003,onchain_r1,true
0xbb88b5803baf5bb9551bd28bdacee15d7a904951,0x11d5c751c328cba9303c91c93d7472403a10952c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000,200,23386745,433,9,true,18,18,EMAX,WETH,0.01,onchain_r1,true
0xc43c98b90e47a7fed8733b5f00744d00bb14c229,0x40e3d1a4b2c47d9aa61261f5606136ef73e28042,0xdac17f958d2ee523a2206206994597c13d831ec7,10000,200,23649203,16,0,,18,6,SERV,USDT,0.01,onchain_r1,true
